iter	RMSE
604	2635.32181
605	2634.874348
606	2634.281571
607	2633.258213
608	2633.109609
609	2632.077178
610	2631.527079
611	2630.420735
612	2629.329306
613	2629.192203
614	2627.272364
615	2625.709156
616	2625.582387
617	2624.708775
618	2624.244714
619	2623.722057
620	2622.788661
621	2621.642144
622	2620.91746
623	2620.799811
624	2618.070835
625	2617.490311
626	2612.715334
627	2611.190697
628	2611.055911
629	2610.075625
630	2608.669451
631	2606.940754
632	2604.000202
633	2602.753293
634	2602.619579
635	2602.195644
636	2601.921418
637	2601.428498
638	2601.204868
639	2600.300251
640	2595.740971
641	2593.830735
642	2593.654876
643	2592.793686
644	2592.236052
645	2587.804553
646	2586.854392
647	2586.667008
648	2585.508984
649	2585.324405
650	2584.982181
651	2582.767625
652	2581.455384
653	2581.315922
654	2579.889352
655	2579.713661
656	2578.41044
657	2577.970461
658	2577.781622
659	2577.602893
660	2577.20738
661	2573.175827
662	2571.84434
663	2570.223962
664	2565.87508
665	2564.73586
666	2563.797532
667	2562.861125
668	2562.582
669	2561.880984
670	2560.690439
671	2560.087992
672	2559.613512
673	2556.138652
674	2555.786934
675	2555.523236
676	2554.256028
677	2553.850119
678	2553.124124
679	2552.445253
680	2552.203351
681	2551.056564
682	2549.27275
683	2547.829318
684	2546.293476
685	2545.500671
686	2544.293613
687	2543.185157
688	2542.806335
689	2541.915474
690	2541.094032
691	2540.268312
692	2539.736325
693	2539.52811
694	2539.454674
695	2537.192876
696	2533.138419
697	2532.162339
698	2530.604121
699	2530.197227
700	2529.949886
701	2528.857172
702	2527.117121
703	2526.581237
704	2525.559625
705	2524.319316
